Player,Pos,Indct,From,To
Mike Munchak,G,2001,1982,1993
Jackie Slater,T,2001,1976,1995
Lynn Swann,WR,2001,1974,1982
Ron Yary,T,2001,1968,1982
Jack Youngblood,DE,2001,1971,1984
Howie Long,DE,2000,1981,1993
Ronnie Lott,DB,2000,1981,1994
Joe Montana,QB,2000,1979,1994
Dave Wilcox,LB,2000,1964,1974
Eric Dickerson,RB,1999,1983,1993
Tom Mack,G,1999,1966,1978
Ozzie Newsome,TE,1999,1978,1990
Billy Shaw,G,1999,1961,1969
Lawrence Taylor,LB,1999,1981,1993
Paul Krause,DB,1998,1964,1979
Tommy McDonald,FL,1998,1957,1968
Anthony Munoz,T,1998,1980,1992
Mike Singletary,LB,1998,1981,1992
Dwight Stephenson,C,1998,1980,1987
Mike Haynes,DB,1997,1976,1989
Mike Webster,C,1997,1974,1990
Lou Creekmur,T,1996,1950,1959
Dan Dierdorf,T,1996,1971,1983
Charlie Joiner,WR,1996,1969,1986
Mel Renfro,DB,1996,1964,1977
Henry Jordan,DT,1995,1957,1969
Steve Largent,WR,1995,1976,1989
Lee Roy Selmon,DE,1995,1976,1984
Kellen Winslow,TE,1995,1979,1987
Tony Dorsett,RB,1994,1977,1988
Jimmy Johnson,DB,1994,1961,1976
Leroy Kelly,RB,1994,1964,1973
Jackie Smith,TE,1994,1963,1978
Randy White,DT,1994,1975,1988
Dan Fouts,QB,1993,1973,1987
Larry Little,G,1993,1967,1980
Walter Payton,RB,1993,1975,1987
Lem Barney,DB,1992,1967,1977
John Mackey,TE,1992,1963,1972
John Riggins,RB,1992,1971,1985
Earl Campbell,RB,1991,1978,1985
John Hannah,G,1991,1973,1985
Stan Jones,G,1991,1954,1966
Jan Stenerud,K,1991,1967,1985
Buck Buchanan,DT,1990,1963,1975
Bob Griese,QB,1990,1967,1980
Franco Harris,RB,1990,1972,1984
Ted Hendricks,LB,1990,1969,1983
Jack Lambert,LB,1990,1974,1984
Bob St. Clair,T,1990,1953,1963
Mel Blount,DB,1989,1970,1983
Terry Bradshaw,QB,1989,1970,1983
Art Shell,T,1989,1968,1982
Willie Wood,DB,1989,1960,1971
Fred Biletnikoff,WR,1988,1965,1978
Mike Ditka,TE,1988,1961,1972
Jack Ham,LB,1988,1971,1982
Alan Page,DT,1988,1967,1981
Larry Csonka,RB,1987,1968,1979
Len Dawson,QB,1987,1957,1975
Joe Greene,DT,1987,1969,1981
John Henry Johnson,FB,1987,1954,1966
Jim Langer,C,1987,1970,1981
Don Maynard,E,1987,1958,1973
Gene Upshaw,G,1987,1967,1981
Paul Hornung,HB,1986,1957,1966
Ken Houston,DB,1986,1967,1980
Willie Lanier,LB,1986,1967,1977
Fran Tarkenton,QB,1986,1961,1978
Doak Walker,HB,1986,1950,1955
Frank Gatski,C,1985,1946,1957
Joe Namath,QB,1985,1965,1977
O.J. Simpson,RB,1985,1969,1979
Roger Staubach,QB,1985,1969,1979
Willie Brown,DB,1984,1963,1978
Mike McCormack,T,1984,1951,1962
Charley Taylor,WR,1984,1964,1977
Arnie Weinmeister,DT,1984,1948,1953
Bobby Bell,LB,1983,1963,1974
Sonny Jurgensen,QB,1983,1957,1974
Bobby Mitchell,FL,1983,1958,1968
Paul Warfield,WR,1983,1964,1977
Doug Atkins,DE,1982,1953,1969
Sam Huff,LB,1982,1956,1969
George Musso,G,1982,1933,1944
Merlin Olsen,DT,1982,1962,1976
Red Badgro,E,1981,1927,1936
George Blanda,QB,1981,1949,1975
Willie Davis,DE,1981,1958,1969
Jim Ringo,C,1981,1953,1967
Herb Adderley,DB,1980,1961,1972
Deacon Jones,DE,1980,1961,1974
Bob Lilly,DT,1980,1961,1974
Jim Otto,C,1980,1960,1974
Dick Butkus,LB,1979,1965,1973
Yale Lary,DB,1979,1952,1964
Ron Mix,T,1979,1960,1971
Johnny Unitas,QB,1979,1956,1973
Lance Alworth,FL,1978,1962,1972
Tuffy Leemans,FB,1978,1936,1943
Ray Nitschke,LB,1978,1958,1972
Larry Wilson,DB,1978,1960,1972
Frank Gifford,HB,1977,1952,1964
Forrest Gregg,T,1977,1956,1971
Gale Sayers,RB,1977,1965,1971
Bart Starr,QB,1977,1956,1971
Bill Willis,DG,1977,1946,1953
Len Ford,DE,1976,1948,1958
Jim Taylor,FB,1976,1958,1967
Rosey Brown,T,1975,1953,1965
George Connor,T,1975,1948,1955
Dante Lavelli,E,1975,1946,1956
Lenny Moore,HB,1975,1956,1967
Tony Canadeo,HB,1974,1941,1952
Bill George,LB,1974,1952,1966
Lou Groza,T,1974,1946,1967
Night Train Lane,DB,1974,1952,1965
Raymond Berry,E,1973,1955,1967
Jim Parker,T,1973,1957,1967
Joe Schmidt,LB,1973,1953,1965
Gino Marchetti,DE,1972,1952,1966
Ollie Matson,RB,1972,1952,1966
Ace Parker,TB,1972,1937,1946
Jim Brown,FB,1971,1957,1965
Bill Hewitt,E,1971,1932,1943
Bruiser Kinard,T,1971,1938,1947
Andy Robustelli,DE,1971,1951,1964
Y.A. Tittle,QB,1971,1948,1964
Norm Van Brocklin,QB,1971,1949,1960
Jack Christiansen,DB,1970,1951,1958
Tom Fears,E,1970,1948,1956
Hugh McElhenny,HB,1970,1952,1964
Pete Pihos,E,1970,1947,1955
Turk Edwards,T,1969,1932,1940
Leo Nomellini,DT,1969,1950,1963
Joe Perry,FB,1969,1948,1963
Ernie Stautner,DT,1969,1950,1963
Cliff Battles,TB,1968,1932,1937
Art Donovan,DT,1968,1950,1961
Elroy Hirsch,E,1968,1946,1957
Wayne Millner,E,1968,1936,1945
Marion Motley,FB,1968,1946,1955
Charley Trippi,HB,1968,1947,1955
Alex Wojciechowicz,C,1968,1938,1950
Chuck Bednarik,LB,1967,1949,1962
Bobby Layne,QB,1967,1948,1962
Ken Strong,FB,1967,1929,1947
Joe Stydahar,T,1967,1936,1946
Emlen Tunnell,DB,1967,1948,1961
Bill Dudley,HB,1966,1942,1953
Joe Guyon,WB,1966,1920,1927
Arnie Herber,TB,1966,1930,1945
Walt Kiesling,G,1966,1926,1938
George McAfee,HB,1966,1940,1950
Bulldog Turner,C,1966,1940,1952
Guy Chamberlin,E,1965,1920,1927
Paddy Driscoll,HB,1965,1920,1929
Danny Fortmann,G,1965,1936,1943
Otto Graham,QB,1965,1946,1955
Sid Luckman,QB,1965,1939,1950
Steve Van Buren,HB,1965,1944,1951
Bob Waterfield,QB,1965,1945,1952
Jimmy Conzelman,BB,1964,1920,1929
Ed Healey,T,1964,1920,1927
Clarke Hinkle,FB,1964,1932,1941
Link Lyman,T,1964,1922,1934
Mike Michalske,G,1964,1927,1937
George Trafton,C,1964,1920,1932
Sammy Baugh,QB,1963,1937,1952
Johnny Blood,TB,1963,1925,1938
Dutch Clark,TB,1963,1931,1938
Red Grange,HB,1963,1925,1934
Mel Hein,C,1963,1931,1945
Pete Henry,T,1963,1920,1928
Cal Hubbard,T,1963,1927,1936
Don Hutson,E,1963,1935,1945
Bronko Nagurski,FB,1963,1930,1943
Ernie Nevers,FB,1963,1926,1931
Jim Thorpe,TB,1963,1920,1928
